time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-11-17T13:59:32.404Z,26.9637,55.2174,10,5,mww,92,32,2.198,0.59,us,us7000iqen,2023-01-28T19:58:21.040Z,"southern Iran",earthquake,8.12,1.825,0.089,12,reviewed,us,us
2022-11-15T15:02:34.646Z,27.7191,56.0137,10,4.6,mb,64,104,2.768,0.54,us,us7000ipva,2023-01-28T19:58:17.040Z,"64 km NNW of Bandar Abbas, Iran",earthquake,10.62,1.875,0.078,51,reviewed,us,us
2022-11-12T22:48:01.836Z,30.2246,57.5544,10,4.2,mb,63,95,5.394,0.7,us,us7000ipd6,2023-01-28T19:58:10.040Z,"46 km E of Kerman, Iran",earthquake,9.06,1.931,0.087,37,reviewed,us,us
2022-11-11T18:44:08.866Z,27.5471,56.1092,10,4.6,mb,104,61,2.593,0.51,us,us7000ip4k,2023-01-21T19:27:23.040Z,"43 km NNW of Bandar Abbas, Iran",earthquake,7.35,1.716,0.055,98,reviewed,us,us
2022-11-11T10:36:24.555Z,27.7121,56.0058,10,4.2,mb,70,59,2.761,0.43,us,us7000ip0j,2023-01-21T19:27:21.040Z,"64 km NNW of Bandar Abbas, Iran",earthquake,8.5,1.868,0.079,45,reviewed,us,us
2022-11-03T02:03:13.887Z,27.7781,57.4801,10,4.1,mb,39,85,3.045,0.51,us,us7000im3g,2023-01-12T23:11:06.040Z,"81 km NNE of M?n?b, Iran",earthquake,7.4,1.883,0.112,22,reviewed,us,us
2022-11-02T08:07:03.814Z,26.3522,54.8717,10,4.1,mb,31,114,1.846,0.91,us,us7000in3t,2023-01-12T23:11:36.040Z,"southern Iran",earthquake,6.24,1.868,0.158,11,reviewed,us,us
2022-10-31T16:08:38.061Z,25.9532,60.3815,10,4.1,mb,20,136,3.907,0.88,us,us7000imhy,2023-01-12T23:11:28.040Z,"34 km SSE of N?kshahr, Iran",earthquake,7.7,1.913,0.175,10,reviewed,us,us
2022-10-30T00:49:05.189Z,27.3165,55.6221,10,4,mb,36,122,2.419,0.82,us,us7000im82,2023-01-12T23:11:16.040Z,"66 km WNW of Bandar Abbas, Iran",earthquake,7.33,1.73,0.105,24,reviewed,us,us
2022-10-24T11:21:08.588Z,26.8864,55.3557,10,4.3,mb,36,93,2.079,0.38,us,us7000iky6,2023-01-03T15:23:45.040Z,"59 km NE of Bandar-e Lengeh, Iran",earthquake,9.87,1.935,0.111,23,reviewed,us,us
2022-10-23T01:55:24.630Z,30.3303,50.8984,10,4.5,mb,93,42,6.466,0.63,us,us6000ivup,2023-01-03T15:23:34.040Z,"10 km ESE of Dogonbadan, Iran",earthquake,7.78,1.847,0.068,63,reviewed,us,us
2022-09-28T18:03:28.841Z,27.6447,54.2212,17.412,4.7,mb,75,33,3.224,0.73,us,us6000ip1l,2022-12-03T22:02:36.040Z,"",earthquake,8.1,3.889,0.064,74,reviewed,us,us
2022-09-27T21:50:33.514Z,27.6273,56.4908,10,4.2,mb,20,103,2.683,0.42,us,us6000iqh5,2022-12-03T22:02:58.040Z,"53 km NNE of Bandar Abbas, Iran",earthquake,7.46,1.929,0.176,9,reviewed,us,us
2022-09-26T13:59:28.718Z,32.3982,56.0284,10,4.2,mb,29,115,7.427,0.32,us,us6000ippu,2022-12-03T22:02:50.040Z,"central Iran",earthquake,12.1,1.929,0.153,14,reviewed,us,us
2022-09-25T23:04:25.176Z,27.6947,56.6185,10,4.3,mb,76,62,2.763,0.79,us,us7000ib08,2022-12-03T22:03:24.040Z,"65 km NNE of Bandar Abbas, Iran",earthquake,2.57,1.885,0.073,54,reviewed,us,us
2022-09-25T15:25:13.810Z,27.7017,56.4543,10,4.9,mb,67,101,2.754,0.45,us,us7000iayf,2022-12-03T22:03:23.040Z,"59 km NNE of Bandar Abbas, Iran",earthquake,8.43,1.875,0.061,87,reviewed,us,us
2022-09-19T04:26:52.285Z,21.1335,59.5307,10,4.6,mb,71,110,4.876,0.51,us,us7000i978,2022-11-26T20:57:41.040Z,"Near the coast of Oman",earthquake,11.03,1.863,0.077,50,reviewed,us,us
2022-09-14T01:54:36.039Z,26.6505,54.1129,10,4.1,mb,30,118,2.537,0.72,us,us7000i7ts,2022-11-19T23:03:05.040Z,"13 km NE of K?sh, Iran",earthquake,7.9,1.94,0.135,15,reviewed,us,us
2022-09-11T07:35:24.729Z,31.0015,48.6419,10,4,mb,21,91,4.781,0.49,us,us7000i75s,2022-11-19T23:02:36.040Z,"28 km S of Jong?yeh, Iran",earthquake,6.29,1.964,0.163,10,reviewed,us,us
2022-09-05T09:14:51.147Z,27.6592,56.0916,10,5.1,mww,103,45,2.705,0.7,us,us7000i5bu,2022-11-15T19:06:07.040Z,"55 km NNW of Bandar Abbas, Iran",earthquake,7.1,1.769,0.093,11,reviewed,us,us
2022-09-04T22:24:25.411Z,28.3677,53.1721,10,4.2,mb,16,106,4.356,0.82,us,us7000i7e8,2022-11-15T19:06:15.040Z,"78 km SW of Fas?, Iran",earthquake,8.7,1.981,0.215,6,reviewed,us,us
2022-08-27T15:24:57.252Z,27.9731,56.6932,37.756,4.3,mb,19,82,3.047,1,us,us7000i4pq,2022-11-06T04:39:23.040Z,"96 km NNE of Bandar Abbas, Iran",earthquake,7.58,12.32,0.168,10,reviewed,us,us
2022-08-26T09:50:56.829Z,31.9227,60.0517,10,4.2,mb,58,88,7.732,0.42,us,us7000i2k0,2022-11-01T15:14:18.040Z,"130 km SE of B?rjand, Iran",earthquake,5.21,1.877,0.078,46,reviewed,us,us
2022-08-26T03:05:54.521Z,27.6726,56.0499,10,4.2,mb,26,136,2.72,0.97,us,us7000i2hs,2022-11-01T15:14:13.040Z,"58 km NNW of Bandar Abbas, Iran",earthquake,5.83,1.933,0.186,8,reviewed,us,us
2022-08-17T07:03:07.657Z,26.5784,54.1484,10,4,mb,32,73,2.466,0.8,us,us7000i2ku,2022-10-28T02:27:59.040Z,"13 km E of K?sh, Iran",earthquake,7.53,1.91,0.144,13,reviewed,us,us
2022-08-17T06:57:15.332Z,26.595,54.2554,10,4.1,mb,24,76,2.405,0.8,us,us7000i2kv,2022-10-28T02:27:59.040Z,"23 km E of K?sh, Iran",earthquake,8.77,1.826,0.165,10,reviewed,us,us
2022-08-15T22:15:50.361Z,29.6765,51.1637,10,4.4,mb,81,44,6.504,0.6,us,us6000ib6c,2022-10-28T02:26:13.040Z,"45 km N of Bor?zj?n, Iran",earthquake,8.29,1.843,0.068,62,reviewed,us,us
2022-08-04T04:09:26.890Z,26.8616,55.3421,10,4.1,mb,25,94,2.06,0.63,us,us6000i7ym,2022-10-12T14:50:24.040Z,"56 km NE of Bandar-e Lengeh, Iran",earthquake,6.15,1.907,0.157,11,reviewed,us,us
2022-07-31T13:52:17.244Z,25.1097,63.4765,16.727,5.1,mb,74,44,6.599,0.51,us,us6000i6z0,2022-10-12T14:49:13.040Z,"17 km S of Pasni, Pakistan",earthquake,6.67,4.116,0.043,184,reviewed,us,us
2022-07-31T13:42:15.318Z,25.1448,63.5694,27.11,5.6,mww,108,44,6.683,0.62,us,us6000i6yz,2022-10-12T14:49:13.040Z,"16 km SE of Pasni, Pakistan",earthquake,8.75,4.173,0.06,27,reviewed,us,us
2022-07-31T11:44:15.876Z,26.7959,55.1207,10,4,mb,30,57,2.085,0.55,us,us6000i9px,2022-10-12T14:51:08.040Z,"35 km NE of Bandar-e Lengeh, Iran",earthquake,6.32,1.725,0.122,18,reviewed,us,us
2022-07-25T15:55:14.802Z,26.8543,55.1598,10,4.8,mb,108,37,2.121,0.55,us,us7000htc5,2022-10-01T22:09:51.040Z,"43 km NE of Bandar-e Lengeh, Iran",earthquake,7.69,1.784,0.056,102,reviewed,us,us
2022-07-25T13:39:33.813Z,28.1769,55.291,10,4.6,mb,68,49,3.321,0.51,us,us7000htbd,2022-10-01T22:09:51.040Z,"97 km SE of D?r?b, Iran",earthquake,7.84,1.858,0.078,49,reviewed,us,us
2022-07-25T01:37:22.603Z,26.9098,55.2757,10,4.1,mb,30,112,2.127,0.94,us,us6000i82b,2022-10-01T22:09:33.040Z,"55 km NE of Bandar-e Lengeh, Iran",earthquake,5.31,1.888,0.151,12,reviewed,us,us
2022-07-24T08:51:12.253Z,26.9496,55.2369,10,4.3,mb,26,108,2.178,0.42,us,us6000i7rx,2022-10-01T22:09:32.040Z,"56 km NE of Bandar-e Lengeh, Iran",earthquake,8.57,1.763,0.129,18,reviewed,us,us
2022-07-23T20:46:14.490Z,28.3762,54.1108,10,4.4,mb,24,116,3.897,0.57,us,us6000i7gx,2022-10-01T22:09:32.040Z,"southern Iran",earthquake,6.93,1.897,0.149,13,reviewed,us,us
2022-07-23T16:09:06.681Z,26.9783,55.3932,11,5.6,mww,151,26,2.152,0.92,us,us7000hszl,2022-10-01T22:09:45.040Z,"69 km NE of Bandar-e Lengeh, Iran",earthquake,7.16,1.843,0.098,10,reviewed,us,us
2022-07-23T16:07:47.118Z,26.8637,55.2135,9,5.4,mww,109,30,2.109,0.73,us,us7000hszk,2022-10-01T22:09:45.040Z,"47 km NE of Bandar-e Lengeh, Iran",earthquake,8.4,1.796,0.098,10,reviewed,us,us
2022-07-22T18:18:48.673Z,27.0889,53.2299,10,4.4,mb,122,46,3.423,0.57,us,us7000hssb,2022-09-27T16:57:15.040Z,"62 km SSE of Mohr, Iran",earthquake,7.38,1.822,0.057,98,reviewed,us,us
2022-07-17T03:50:41.974Z,30.1078,57.5995,10,4.1,mb,30,106,5.29,0.55,us,us6000i35z,2022-09-27T16:56:55.040Z,"53 km ESE of Kerman, Iran",earthquake,11.42,1.944,0.175,9,reviewed,us,us
2022-07-16T19:27:19.112Z,26.5862,54.2553,10,4.1,mb,31,62,2.399,0.67,us,us6000i33d,2022-09-27T16:56:54.040Z,"23 km E of K?sh, Iran",earthquake,8.9,1.9,0.131,16,reviewed,us,us
